pathway	pval	padj	ES	NES	nMoreExtreme	size
5991745	0.0175238405738039	0.0760664487129562	-0.486082522169279	-1.67731795376405	859	24
5991065	0.0183512078864695	0.0781291709932193	0.279334652668313	1.36409365573635	1693	304
5992070	0.0185145888594164	0.0781291709932193	0.390875753144729	1.5528870512405	1395	70
5992078	0.0186817325800377	0.0781291709932193	0.572238571614881	1.6904396976475	1239	18
912497	0.0186817325800377	0.0781291709932193	0.572238571614881	1.6904396976475	1239	18
5991866	0.0187989984813036	0.0781291709932193	0.423989171371274	1.58750612157352	1373	51
5991867	0.0187989984813036	0.0781291709932193	0.423989171371274	1.58750612157352	1373	51
5991799	0.0206405260594252	0.0851785089494591	0.585639629892283	1.6774649139549	1355	16
5991144	0.0216511867905057	0.0875006583395609	-0.459313229635036	-1.63630907625412	1048	27
5991149	0.0216511867905057	0.0875006583395609	-0.45934960914	-1.63643867869167	1048	27
5991151	0.0216511867905057	0.0875006583395609	-0.45934960914	-1.63643867869167	1048	27
5991143	0.0220743752438448	0.0885998896773498	-0.464657514543401	-1.63946893425669	1074	26
5991944	0.0227241426800716	0.0905111252829116	-0.521911866634643	-1.66466008083816	1154	18
5991152	0.0228594650885169	0.0905111252829116	-0.311520304694002	-1.44665126410917	899	89
5991743	0.0230608520879063	0.0906957001578059	-0.296614357114977	-1.42354398822038	871	106
5991664	0.0235178907721281	0.0912681059103778	0.562155888279135	1.6606546237028	1560	18
5991665	0.0235178907721281	0.0912681059103778	0.562155888279135	1.6606546237028	1560	18
5991150	0.0249824342259349	0.0963138582657753	-0.29939663235807	-1.42199351143191	959	100
5992376	0.0256055192195942	0.0980708121743935	0.330440587623454	1.44291359813767	2070	123
5991864	0.0266215229369979	0.101300080786239	0.381011026772214	1.50971817515736	2004	69
5992270	0.0276853252647504	0.103543251526322	0.41564401391755	1.54316942400745	2012	49
5992131	0.0277411100505676	0.103543251526322	-0.47271844913035	-1.6122393303489	1365	23
5992132	0.0277411100505676	0.103543251526322	-0.47271844913035	-1.6122393303489	1365	23
5991561	0.027976789626384	0.103762017221905	-0.2653952718197	-1.34944485481903	944	152
5991012	0.0285035914285372	0.105050972183162	0.313152039295268	1.40887590686733	2376	151
5991008	0.0291129347401329	0.106626123485737	0.432543613590471	1.55621637730099	2085	42
5991812	0.0307051819434775	0.10913927258008	0.453100828743593	1.5663110391202	2160	35
5991158	0.0307303412554831	0.10913927258008	-0.311554881534018	-1.42621298573674	1239	82
5991162	0.0307303412554831	0.10913927258008	-0.311554881534018	-1.42621298573674	1239	82
5991165	0.0307303412554831	0.10913927258008	-0.311554881534018	-1.42621298573674	1239	82
5991168	0.0307303412554831	0.10913927258008	-0.311554881534018	-1.42621298573674	1239	82
5991583	0.0319980944062885	0.112957128446295	-0.48688873843401	-1.60032127271668	1611	20
5991740	0.0339202596330406	0.119025581706358	0.452586205309355	1.55465443066172	2382	34
5991986	0.0345653879593698	0.120567365143992	-0.410071421873529	-1.53580585826902	1629	33
5991176	0.0359400206278264	0.124620426555658	-0.286306411096609	-1.37407296892086	1358	106
5991067	0.0363721726642547	0.124643819773411	0.410107841731088	1.50975355011052	2633	47
5991068	0.0363721726642547	0.124643819773411	0.410107841731088	1.50975355011052	2633	47
5991573	0.0372902934351835	0.127047162517544	-0.440784260794311	-1.55523601720225	1815	26
5991550	0.0391911431469452	0.131867204113372	-0.387453066463748	-1.50315096288099	1815	38
5991710	0.039356386168299	0.131867204113372	-0.469005516464449	-1.56246866279662	1968	21
5991589	0.0393801377471673	0.131867204113372	0.414843738632009	1.50725335833329	2835	44
5991139	0.0410239306261986	0.135188962649069	-0.420879197242316	-1.52652702974127	1967	29
5991140	0.0410239306261986	0.135188962649069	-0.420879197242316	-1.52652702974127	1967	29
5991164	0.0412949220378554	0.135188962649069	-0.420643919765347	-1.52567367934896	1980	29
5991167	0.0412949220378554	0.135188962649069	-0.420643919765347	-1.52567367934896	1980	29
5991159	0.0433727553705075	0.138132796995203	-0.293952121227841	-1.37107474326861	1697	91
5991160	0.0433727553705075	0.138132796995203	-0.293952121227841	-1.37107474326861	1697	91
5991163	0.0433727553705075	0.138132796995203	-0.293952121227841	-1.37107474326861	1697	91
5991166	0.0433727553705075	0.138132796995203	-0.293952121227841	-1.37107474326861	1697	91
5991169	0.0433727553705075	0.138132796995203	-0.293952121227841	-1.37107474326861	1697	91
5991161	0.0437759075493028	0.138663144994008	-0.412536661078561	-1.50954898383414	2090	30
5991157	0.0497507204914067	0.156425204060888	-0.402655012863243	-1.48408380296728	2364	31
5991619	0.0499172579511709	0.156425204060888	-0.343433427780011	-1.42342728788404	2201	51
5991754	0.0507097743750127	0.158063445658284	-0.442783715383089	-1.51014482741667	2496	23
5991608	0.0519444444444444	0.160555588192991	0.356530984179197	1.42049933409277	3926	71
5992381	0.0520572726223009	0.160555588192991	-0.507557939563166	-1.53723068674293	2704	15
5991598	0.0532223378425251	0.162265120328558	0.40035639406451	1.46123737076383	3835	45
5991028	0.0532439807156692	0.162265120328558	0.422283773498159	1.47785667059367	3765	37
5991627	0.0535334619337942	0.162265120328558	0.416066351451617	1.47230305302618	3801	39
5991577	0.053719169528567	0.162265120328558	-0.486450197659098	-1.52721495996129	2752	17
5990995	0.0548443739556487	0.164814375066719	0.423978719134188	1.47466920223882	3872	36
5992097	0.0554055143502096	0.1656511806593	-0.444798447658729	-1.49950677512562	2748	22
5991726	0.0562650483659763	0.167367098185087	0.413727041560189	1.46402511109911	3995	39
5991301	0.0565844806728498	0.167467200375202	0.444649095127445	1.48433085568668	3928	30
5991868	0.0587703435804702	0.172197106690778	0.368083750113774	1.41749982866457	4354	59
5991870	0.0587703435804702	0.172197106690778	0.368083750113774	1.41749982866457	4354	59
5992121	0.0591515185649315	0.172451690940547	0.411473249436776	1.45604978453735	4200	39
5992038	0.0619544805828889	0.179729334760262	0.501396150793291	1.50011899465893	4123	19
5992356	0.0635363375148924	0.183410314205552	0.402309670758305	1.43940601865432	4532	41
5991819	0.0639890317360424	0.183811630379024	-0.338576892739881	-1.39144126068191	2846	49
5992202	0.0665866411200499	0.190340349738289	0.277140466305941	1.29062843554316	5768	198
5992221	0.0677761154263931	0.192800017669254	-0.415540699442581	-1.44964194381106	3306	25
5991761	0.069796578509761	0.197588381674976	-0.326922968563592	-1.36605036165427	3063	53
5991302	0.0704753264736076	0.198550679391991	-0.302915300670914	-1.33886929277078	2951	69
5992367	0.0723362450077953	0.202818371170182	-0.370888901000874	-1.40967766561503	3386	35
5991960	0.0734011299435028	0.204076579383611	0.499410172881504	1.47529863159252	4871	18
5991038	0.0734814987200372	0.204076579383611	0.445007648699135	1.44986757511327	5051	27
5991039	0.0743039443155452	0.205387317777875	0.439617860285758	1.44427676893345	5123	28
5991241	0.0758862237316918	0.208776183599866	0.505753510913795	1.47173045075719	5004	17
5992254	0.0770504942559444	0.210988736607399	0.347794718809373	1.36649517424338	5767	66
5992324	0.0785588792296986	0.214118619667923	-0.320794723534	-1.34675413600489	3442	54
5992120	0.0793247175400425	0.215205020733634	0.333642508127401	1.34865106025388	6051	77
5991018	0.0814567304992419	0.218105996584545	0.393361276870313	1.39967707179599	5801	40
5991172	0.0815266117858016	0.218105996584545	-0.411524201489136	-1.42004063113744	4000	24
5991013	0.0822549918859804	0.218105996584545	0.39790981720398	1.4006075664379	5828	38
5991014	0.0822549918859804	0.218105996584545	0.39790981720398	1.4006075664379	5828	38
5991015	0.0822549918859804	0.218105996584545	0.39790981720398	1.4006075664379	5828	38
5992079	0.0869883555568071	0.229617911514815	0.392543024335576	1.38906280490362	6177	39
5991464	0.0879257087768312	0.231051414095171	-0.447834494796775	-1.42838715493776	4468	18
5992109	0.0906548693516409	0.237149500034963	0.458574885064598	1.42303718425778	6126	22
5991300	0.0915756031141989	0.237149500034963	-0.220961561911613	-1.19010540318735	2622	231
5991507	0.0916610094348772	0.237149500034963	0.373055582238562	1.36702328954261	6615	46
5992377	0.0918650793650794	0.237149500034963	0.33462992059307	1.33324058907335	6944	71
5991034	0.0947083583884546	0.241420749863193	0.410131552427097	1.38973658870694	6614	32
5991035	0.0947083583884546	0.241420749863193	0.410131552427097	1.38973658870694	6614	32
5991674	0.0951675652191086	0.241420749863193	-0.435177484650761	-1.41016152448843	4818	19
5991675	0.0951675652191086	0.241420749863193	-0.435177484650761	-1.41016152448843	4818	19
5991006	0.0972529251911406	0.24367203210128	0.386701827459039	1.36839299595453	6906	39
5991007	0.0972529251911406	0.24367203210128	0.386701827459039	1.36839299595453	6906	39
5991407	0.0973024838083608	0.24367203210128	-0.339831579895037	-1.34255113786643	4461	41
5991945	0.0986410948342328	0.245395473980446	-0.288391136721563	-1.28573820281787	4093	72
5991308	0.0988282113641388	0.245395473980446	-0.280815725574489	-1.27618887566207	4022	79
5991413	0.0998167066880746	0.246804177718193	0.397375956638075	1.37367735408709	7024	35
5992142	0.100392604754087	0.247185152881911	0.403860844040226	1.37799637181601	7031	33
5992141	0.105102889491053	0.257699971722832	0.338959197591549	1.32055123516044	7834	63
5991141	0.105654534749329	0.257973155679613	-0.335965591552423	-1.32727802213669	4844	41
442533	0.109367440099291	0.264210296012479	-0.364070576725193	-1.34187140056375	5198	31
5991877	0.109367440099291	0.264210296012479	-0.364070576725193	-1.34187140056375	5198	31
5992304	0.10956160739084	0.264210296012479	0.430912448483047	1.37984179333708	7494	25
5991231	0.110715245083485	0.264812790281316	0.385679175854223	1.34975241417302	7830	37
5991232	0.110715245083485	0.264812790281316	0.385679175854223	1.34975241417302	7830	37
5991341	0.114883507050889	0.270575668135618	0.495926119698269	1.39583790777855	7494	15
5991410	0.115351210509174	0.270575668135618	-0.251434220136052	-1.22304115283241	4249	115
5991411	0.117727545776136	0.270575668135618	0.2512287226416	1.20534207941957	10582	256
5991620	0.117741971628981	0.270575668135618	-0.316151556515669	-1.29367799409646	5253	48
5991621	0.117741971628981	0.270575668135618	-0.316151556515669	-1.29367799409646	5253	48
5991622	0.117741971628981	0.270575668135618	-0.316151556515669	-1.29367799409646	5253	48
5991623	0.117741971628981	0.270575668135618	-0.316151556515669	-1.29367799409646	5253	48
5991712	0.117741971628981	0.270575668135618	-0.316151556515669	-1.29367799409646	5253	48
5991714	0.117741971628981	0.270575668135618	-0.316151556515669	-1.29367799409646	5253	48
5991715	0.117741971628981	0.270575668135618	-0.316151556515669	-1.29367799409646	5253	48
5991708	0.120448619976625	0.275714419165243	-0.313148976600132	-1.28694076921692	5358	49
5991175	0.121542536807737	0.276242475285212	-0.37778979497162	-1.33297022677834	5918	26
5991956	0.121694143912073	0.276242475285212	-0.342552552870506	-1.31052397270329	5668	36
5991792	0.122093517233567	0.276242475285212	0.383040286485932	1.33227845692596	8621	36
5992039	0.125396229249606	0.282623809001034	0.456322586016675	1.36526412875816	8346	19
5991508	0.127675366386872	0.286658102309223	0.335437494662336	1.2917782734624	9460	59
5991892	0.129019669060256	0.288570710188206	-0.431008548351543	-1.35315538174572	6611	17
5991011	0.133680236978006	0.297857866422478	0.312912522239074	1.26485622966033	10198	77
